left_eye_x,left_eye_y,right_eye_x,right_eye_y,mouth_x,mouth_y,left_ear_1_x,left_ear_1_y,left_ear_2_x,left_ear_2_y,left_ear_3_x,left_ear_3_y,right_ear_1_x,right_ear_1_y,right_ear_2_x,right_ear_2_y,right_ear_3_x,right_ear_3_y,file_name
177.0,124.0,240.0,146.0,208.0,172.0,132.0,97.0,149.0,30.0,190.0,81.0,245.0,102.0,304.0,95.0,268.0,145.0,b4735fa043136534973c17fca358aee9.jpg
90.0,231.0,169.0,220.0,134.0,287.0,55.0,202.0,33.0,129.0,77.0,164.0,155.0,153.0,199.0,101.0,207.0,180.0,8d8a9448a43e70077784825b26433d6d.jpg
254.0,160.0,340.0,174.0,286.0,245.0,207.0,126.0,207.0,14.0,274.0,94.0,336.0,103.0,422.0,50.0,384.0,155.0,274977dfe9d5cceb1e0a3bb57088164b.jpg
559.0,309.0,729.0,353.0,631.0,390.0,470.0,239.0,479.0,87.0,572.0,205.0,756.0,248.0,896.0,188.0,837.0,335.0,dfcd37f5dba0df53a2656b46b8aeb7f4.jpg
143.0,159.0,229.0,145.0,186.0,226.0,108.0,121.0,71.0,34.0,141.0,74.0,230.0,59.0,287.0,3.0,290.0,89.0,9ae060a543c60e4dc9d3539cfbc8fb79.jpg
355.0,347.0,486.0,368.0,402.0,451.0,291.0,287.0,307.0,133.0,386.0,241.0,490.0,258.0,594.0,177.0,563.0,334.0,665d89c8364d3155a82598728f8ca9f3.jpg
226.0,149.0,300.0,179.0,232.0,218.0,209.0,96.0,238.0,22.0,261.0,88.0,321.0,115.0,388.0,88.0,353.0,162.0,3cae9530e588c301cf6f08e0412df7ae.jpg
237.0,162.0,296.0,152.0,279.0,195.0,187.0,153.0,170.0,93.0,213.0,121.0,282.0,109.0,321.0,70.0,321.0,130.0,a8aefab14d1ddf76c3b2bbcd661ae03a.jpg
309.0,350.0,525.0,355.0,384.0,527.0,239.0,263.0,211.0,27.0,378.0,170.0,516.0,176.0,676.0,28.0,678.0,275.0,60c5fceb8dd93a8fa81578632965cfb9.jpg
217.0,193.0,268.0,169.0,264.0,217.0,174.0,189.0,145.0,136.0,202.0,146.0,238.0,129.0,263.0,80.0,283.0,140.0,ff2fa3a7b4f81edabd24ff3c47b0f1c7.jpg
256.0,61.0,300.0,66.0,274.0,101.0,231.0,42.0,228.0,-17.0,262.0,25.0,301.0,30.0,343.0,1.0,325.0,54.0,06037646dc9d3e7f2d3ed7448bc35ca6.jpg
208.0,114.0,268.0,142.0,218.0,170.0,181.0,80.0,204.0,17.0,228.0,72.0,280.0,97.0,329.0,87.0,300.0,136.0,b2a0c490624d3c8c88c61143cb3902e3.jpg
426.0,311.0,631.0,282.0,544.0,445.0,304.0,283.0,278.0,41.0,427.0,160.0,623.0,138.0,768.0,35.0,763.0,229.0,9a48fa735aed42db02172fe998383fbd.jpg
502.0,256.0,632.0,230.0,598.0,310.0,416.0,291.0,366.0,143.0,477.0,187.0,587.0,164.0,654.0,88.0,676.0,236.0,7ebcab4f943591da9c10db4e67261e1c.jpg
457.0,334.0,660.0,330.0,567.0,471.0,318.0,292.0,293.0,47.0,489.0,174.0,609.0,175.0,816.0,39.0,748.0,293.0,b3b6c2d31aaf1b145bf67e73e1996618.jpg
175.0,133.0,238.0,133.0,200.0,186.0,146.0,85.0,133.0,27.0,180.0,67.0,231.0,66.0,266.0,17.0,275.0,85.0,33c4c2618ae7cee7e5055f6258b46493.jpg
196.0,120.0,247.0,126.0,239.0,168.0,127.0,97.0,146.0,15.0,190.0,66.0,227.0,71.0,269.0,30.0,259.0,113.0,9d3e3f986afcc4441eb2d1375e2cd922.jpg
434.0,320.0,597.0,316.0,521.0,442.0,317.0,285.0,279.0,119.0,432.0,198.0,575.0,196.0,699.0,81.0,698.0,276.0,f3b4414b73995c0ececd0c14fa3f100f.jpg
245.0,156.0,279.0,164.0,254.0,180.0,231.0,139.0,232.0,98.0,255.0,129.0,285.0,136.0,320.0,120.0,306.0,157.0,df07de25d3f3acd2e7df828f69b414c3.jpg
263.0,355.0,420.0,344.0,357.0,441.0,161.0,349.0,140.0,157.0,264.0,252.0,389.0,245.0,474.0,124.0,498.0,326.0,b0a007a21b9bd901f1d3a40bbfef3b77.jpg
361.0,263.0,558.0,281.0,423.0,431.0,314.0,197.0,278.0,-6.0,415.0,120.0,597.0,139.0,776.0,48.0,704.0,242.0,fbdfb2c06e092ea27f0b63fd07d35ced.jpg
386.0,119.0,426.0,120.0,404.0,149.0,371.0,92.0,359.0,55.0,390.0,81.0,430.0,83.0,464.0,64.0,456.0,96.0,9c078ad67a8c2f74a9a4adbeda05e187.jpg
274.0,144.0,334.0,144.0,300.0,201.0,234.0,109.0,236.0,30.0,287.0,82.0,328.0,82.0,378.0,31.0,378.0,110.0,f3e1da54daf3f98368c580f2acb4dff9.jpg
208.0,134.0,265.0,132.0,237.0,178.0,181.0,103.0,167.0,43.0,210.0,75.0,263.0,73.0,304.0,41.0,299.0,100.0,78e0771ea4cc5555fea3f07eb63b6e37.jpg
318.0,151.0,353.0,147.0,336.0,169.0,297.0,144.0,285.0,113.0,311.0,129.0,352.0,124.0,373.0,94.0,374.0,135.0,f27b263220b168179b259f768e3e4cfd.jpg
197.0,184.0,276.0,183.0,237.0,253.0,162.0,126.0,151.0,53.0,208.0,99.0,276.0,99.0,334.0,49.0,330.0,125.0,4dd0240d5934156f06df83877455aafc.jpg
809.0,192.0,867.0,258.0,794.0,284.0,779.0,83.0,853.0,12.0,856.0,109.0,919.0,184.0,1015.0,199.0,914.0,241.0,9ffb0baed47f51be4552108e7106f8eb.jpg
304.0,141.0,337.0,142.0,318.0,160.0,289.0,135.0,289.0,93.0,311.0,119.0,334.0,120.0,359.0,96.0,357.0,137.0,1597459355dcc600a1f562db6f48d35f.jpg
126.0,155.0,212.0,178.0,146.0,238.0,84.0,110.0,107.0,-21.0,162.0,76.0,227.0,93.0,320.0,44.0,277.0,164.0,98f5829fc5a32bc3d397eb1deb1496bc.jpg
144.0,155.0,204.0,153.0,179.0,196.0,102.0,132.0,101.0,70.0,145.0,101.0,192.0,99.0,232.0,59.0,235.0,127.0,7fef3e126bb09e2da91d7451075945d3.jpg
354.0,208.0,396.0,228.0,355.0,255.0,345.0,174.0,371.0,124.0,380.0,173.0,414.0,191.0,463.0,166.0,435.0,219.0,b8c9dbcc5ff5548f983d833491f46046.jpg
267.0,192.0,308.0,192.0,287.0,226.0,246.0,174.0,242.0,127.0,279.0,155.0,301.0,155.0,336.0,129.0,330.0,174.0,6097e29a86960af336fa7b29852563ab.jpg
596.0,570.0,559.0,496.0,639.0,500.0,591.0,642.0,464.0,671.0,518.0,594.0,495.0,550.0,408.0,534.0,500.0,470.0,9a688c7a85414af8461d77e4d3599b88.jpg
679.0,397.0,741.0,397.0,710.0,430.0,648.0,374.0,637.0,308.0,695.0,340.0,738.0,341.0,791.0,309.0,787.0,377.0,148b822da0a4cc5396c88e508b0eae66.jpg
466.0,302.0,634.0,302.0,556.0,413.0,359.0,253.0,334.0,92.0,463.0,185.0,630.0,187.0,751.0,94.0,727.0,255.0,0a06c2ff027625246cc96bbce19be2e5.jpg
281.0,150.0,325.0,159.0,309.0,192.0,236.0,128.0,262.0,63.0,283.0,111.0,317.0,119.0,357.0,93.0,336.0,151.0,fc3ca1f1ff3cc9e6a449ff9eebf3a173.jpg
263.0,189.0,305.0,183.0,290.0,219.0,231.0,167.0,225.0,126.0,260.0,146.0,293.0,142.0,321.0,112.0,324.0,155.0,340ce41f77c2e14545e49232d71a68a3.jpg
541.0,375.0,716.0,373.0,621.0,477.0,412.0,312.0,405.0,141.0,542.0,241.0,731.0,241.0,859.0,137.0,860.0,306.0,27b4b55d0728433eb1faa82229f22c7c.jpg
222.0,132.0,315.0,122.0,279.0,197.0,146.0,132.0,113.0,36.0,200.0,67.0,320.0,54.0,392.0,9.0,373.0,107.0,788cafa934983be9367fc68a3749b3bf.jpg
479.0,208.0,543.0,211.0,510.0,251.0,438.0,173.0,442.0,111.0,479.0,150.0,545.0,155.0,591.0,124.0,585.0,182.0,c559f65f57343f5a6a5f2456d0795ca6.jpg
532.0,278.0,664.0,268.0,575.0,375.0,493.0,226.0,463.0,55.0,567.0,150.0,680.0,146.0,766.0,30.0,822.0,211.0,00194f81f1b1af2cff5d599d279c8b16.jpg
242.0,151.0,319.0,168.0,266.0,215.0,204.0,124.0,209.0,35.0,252.0,96.0,333.0,116.0,400.0,82.0,364.0,163.0,0c3a138f04ace834c59232ec84f961f7.jpg
216.0,159.0,282.0,161.0,242.0,216.0,184.0,122.0,166.0,47.0,224.0,94.0,281.0,95.0,337.0,55.0,337.0,125.0,6bf9403d1b9cbdff612cfc076325ce04.jpg
363.0,377.0,576.0,345.0,495.0,511.0,170.0,315.0,134.0,9.0,333.0,177.0,523.0,152.0,619.0,-40.0,657.0,244.0,fa15da9fa8393693a13e7dc374e1f037.jpg
167.0,138.0,263.0,133.0,218.0,193.0,111.0,118.0,97.0,18.0,172.0,68.0,260.0,64.0,324.0,13.0,316.0,110.0,fd02571d9bdbc71800f815254d53e109.jpg
208.0,126.0,254.0,121.0,234.0,161.0,177.0,109.0,167.0,62.0,203.0,88.0,247.0,83.0,279.0,50.0,278.0,100.0,502adaa9da7af0b7eae94256be3cb115.jpg
219.0,121.0,283.0,121.0,247.0,160.0,193.0,93.0,195.0,21.0,242.0,61.0,276.0,62.0,324.0,21.0,324.0,93.0,b469fed0cf84fa84ec833d15a947bbb3.jpg
